Unnamed: 0,asin,helpful,reviewerID,reviewerName,unixReviewTime,reviewTime,overall,reviewText,summary
14,B00ABC1243,"[1, 1]",A1XYZ015,Robert Y.,1368576000,02 25 2013,5,Fantastic read from start to finish. The author explains complex ideas in a simple and accessible way. I am so glad I decided to buy it.,Outstanding and informative
15,B00ABC1204,"[1, 6]",A1XYZ016,Jessica N.,1368662400,09 25 2013,1,Complete garbage. The sentences are confusing and the structure is a mess. Very disappointed with this purchase.,One star is too generous
16,B00ABC1283,"[0, 1]",A1XYZ017,Sarah J.,1368748800,04 3 2014,1,"Very poor content. The writing is flat, the content is predictable. Very disappointed with this purchase.",Should never have been published
17,B00ABC1121,"[0, 3]",A1XYZ018,David V.,1368835200,01 28 2014,5,Captivating and thoroughly enjoyable. The writing style is engaging and the content is very well structured. Would definitely recommend it to friends and family.,Brilliant masterpiece
18,B00ABC1097,"[9, 9]",A1XYZ019,Michelle L.,1368921600,08 8 2015,5,Beautifully crafted and deeply insightful. The author explains complex ideas in a simple and accessible way. I finished it in two days and immediately bought the sequel.,"Must read, absolutely brilliant"
19,B00ABC1372,"[0, 7]",A1XYZ020,Lisa G.,1369008000,11 21 2012,5,A wonderful journey from start to finish. The author has a unique voice that keeps you engaged from start to finish. Essential reading for everyone.,"A revelation, landmark publication"
20,B00ABC1127,"[7, 8]",A1XYZ021,Rachel D.,1369094400,03 14 2013,5,Wonderful storytelling throughout. The author explains complex ideas in a simple and accessible way. Cannot recommend it enough.,Perfect for learning
21,B00ABC1248,"[0, 0]",A1XYZ022,Tom L.,1369180800,02 25 2013,1,"I could not finish this book. The writing is flat, the content is predictable. Very disappointed with this purchase.",Misleading description
22,B00ABC1356,"[0, 6]",A1XYZ023,Kevin L.,1369267200,07 9 2015,4,This book blew my mind. I learned so much from reading this book. Highly recommend to anyone interested in this topic.,Exceeded all expectations
23,B00ABC1029,"[2, 3]",A1XYZ024,Deborah F.,1369353600,04 2 2012,1,Appalling quality. The information is incorrect in many places and the writing is painfully bad. I regret purchasing this book.,Complete garbage
24,B00ABC1120,"[0, 0]",A1XYZ025,Sharon M.,1369440000,03 3 2012,5,"Beautifully crafted and deeply insightful. The writing is sharp, the ideas are original and the execution is flawless. I finished it in two days and immediately bought the sequel.",Exceeded all expectations
25,B00ABC1104,"[0, 0]",A1XYZ026,Rebecca B.,1369526400,07 22 2014,5,A revelation from cover to cover. The author explains complex ideas in a simple and accessible way. I am so glad I decided to buy it.,Truly remarkable
26,B00ABC1475,"[2, 3]",A1XYZ027,Dorothy F.,1369612800,07 5 2014,3,Mixed feelings about this one. Some chapters were great but others were a letdown. Average read.,Mixed feelings
27,B00ABC1067,"[1, 9]",A1XYZ028,Walter B.,1369699200,02 18 2013,2,I could not finish this book. The content is outdated and misleading. I regret purchasing this book.,One star is too generous
28,B00ABC1334,"[1, 4]",A1XYZ029,Donna A.,1369785600,08 27 2014,1,I could not finish this book. The editing is nonexistent and the structure is completely absent. Not worth the price.,Want my money back
29,B00ABC1309,"[0, 4]",A1XYZ030,Rachel N.,1369872000,02 24 2013,4,This is the definitive book on the subject. Every chapter is filled with valuable insights and relatable examples. Would definitely recommend it to friends and family.,"Must read, absolutely brilliant"
30,B00ABC1022,"[4, 7]",A1XYZ031,Amanda B.,1369958400,01 3 2015,5,Simply outstanding work. The author explains complex ideas in a simple and accessible way. An absolute must have.,Wonderful journey
31,B00ABC1353,"[6, 7]",A1XYZ032,David C.,1370044800,09 1 2012,5,"Outstanding quality and research. The explanations are clear, the examples are practical. An absolute must have.",Exceeded all expectations
32,B00ABC1460,"[2, 8]",A1XYZ033,Laura S.,1370131200,07 5 2012,1,Appalling quality. The content is outdated and misleading. Do not waste your money.,Loses momentum quickly
33,B00ABC1452,"[3, 10]",A1XYZ034,Linda I.,1370217600,11 4 2014,1,Very disappointing experience. The editing is nonexistent and the structure is completely absent. Do not waste your money.,Worst book ever
34,B00ABC1170,"[0, 2]",A1XYZ035,Deborah H.,1370304000,07 1 2013,1,Regret buying this. Most of the content is filler and adds no value whatsoever. Save your money.,"Disappointing, not worth it"
35,B00ABC1113,"[2, 2]",A1XYZ036,Jason O.,1370390400,02 13 2012,2,Absolutely dreadful. The book promised a lot but delivered very little. Not worth the price.,"Total mess, waste of money"
36,B00ABC1442,"[0, 3]",A1XYZ037,Karen B.,1370476800,11 7 2015,5,"Excellent book, very well researched. The author has a unique voice that keeps you engaged from start to finish. An absolute must have.",Changed my perspective
37,B00ABC1091,"[8, 10]",A1XYZ038,Ryan B.,1370563200,06 1 2012,5,Perfect book for anyone interested in this topic. The author has a unique voice that keeps you engaged from start to finish. I finished it in two days and immediately bought the sequel.,"Essential reading, one of the best"
38,B00ABC1261,"[2, 6]",A1XYZ039,Barbara U.,1370649600,12 26 2014,4,Perfect book for anyone interested in this topic. The writing style is engaging and the content is very well structured. Would definitely recommend it to friends and family.,Truly remarkable
39,B00ABC1035,"[0, 6]",A1XYZ040,Nancy L.,1370736000,09 26 2013,5,A revelation from cover to cover. The author explains complex ideas in a simple and accessible way. An absolute must have.,Brilliant masterpiece
40,B00ABC1356,"[4, 4]",A1XYZ041,Steven G.,1370822400,05 22 2015,1,Worst book I have ever read. The content is recycled and the author adds nothing new to the conversation. Do not waste your money.,Misleading description
41,B00ABC1426,"[2, 10]",A1XYZ042,Patricia I.,1370908800,10 19 2014,5,Outstanding quality and research. The author explains complex ideas in a simple and accessible way. Essential reading for everyone.,"Essential reading, one of the best"
42,B00ABC1261,"[5, 9]",A1XYZ043,Sharon H.,1370995200,08 15 2015,5,A real gem of a book. The author explains complex ideas in a simple and accessible way. Essential reading for everyone.,Insightful and well written
43,B00ABC1115,"[5, 8]",A1XYZ044,Sharon N.,1371081600,02 27 2013,4,"Superb content and beautifully written. The explanations are clear, the examples are practical. Would definitely recommend it to friends and family.",A real gem
44,B00ABC1196,"[1, 7]",A1XYZ045,Jessica Z.,1371168000,08 14 2013,2,Awful experience reading this. The content is outdated and misleading. Would not recommend at all.,"Disappointing, not worth it"
45,B00ABC1127,"[1, 6]",A1XYZ046,Lisa I.,1371254400,03 26 2015,4,Captivating and thoroughly enjoyable. The research is thorough and the conclusions are very insightful. Highly recommend to anyone interested in this topic.,Truly inspiring
46,B00ABC1226,"[8, 10]",A1XYZ047,Kenneth C.,1371340800,09 20 2014,1,"Very bad quality overall. The writing is flat, the content is predictable. Save your money.",Should never have been published
47,B00ABC1430,"[2, 2]",A1XYZ048,Kenneth C.,1371427200,08 15 2014,4,I cannot say enough good things about this book. The level of detail is impressive and the writing flows beautifully. I finished it in two days and immediately bought the sequel.,"Beautifully crafted, deeply insightful"
48,B00ABC1163,"[1, 7]",A1XYZ049,Rachel F.,1371513600,12 10 2013,4,I cannot say enough good things about this book. The author writes with passion and authority on every page. Cannot recommend it enough.,Simply outstanding
49,B00ABC1208,"[5, 6]",A1XYZ050,David L.,1371600000,03 23 2013,1,I could not finish this book. The writing is terrible and the plot makes no sense. Save your money.,"Disappointing, not worth it"
50,B00ABC1391,"[3, 6]",A1XYZ051,Jason C.,1371686400,10 23 2012,5,"Excellent book, very well researched. The level of detail is impressive and the writing flows beautifully. Highly recommend to anyone interested in this topic.",Perfect for learning
51,B00ABC1139,"[6, 6]",A1XYZ052,Maria C.,1371772800,07 18 2013,4,"Beautifully crafted and deeply insightful. The writing style is engaging and the content is very well structured. Buy it now, you will not regret it.",A real gem
52,B00ABC1303,"[1, 2]",A1XYZ053,Eric G.,1371859200,03 20 2012,5,"This book is absolutely amazing. The level of detail is impressive and the writing flows beautifully. Buy it now, you will not regret it.","Essential reading, one of the best"
53,B00ABC1232,"[2, 7]",A1XYZ054,Steven H.,1371945600,01 9 2015,4,This book is absolutely amazing. The storytelling is brilliant and the characters are very well developed. Essential reading for everyone.,"Must read, absolutely brilliant"
54,B00ABC1332,"[1, 1]",A1XYZ055,Brian C.,1372032000,01 24 2012,5,This book blew my mind. Every chapter is filled with valuable insights and relatable examples. Essential reading for everyone.,Simply outstanding
55,B00ABC1342,"[0, 3]",A1XYZ056,Robert O.,1372118400,10 5 2013,5,Fantastic read from start to finish. I came away with a completely new understanding of the subject. Highly recommend to anyone interested in this topic.,Changed my perspective
56,B00ABC1083,"[2, 2]",A1XYZ057,Linda G.,1372204800,10 24 2012,5,This is a must read! The author writes with passion and authority on every page. An absolute must have.,"Loved it, flawless execution"
57,B00ABC1353,"[6, 9]",A1XYZ058,David J.,1372291200,07 23 2013,1,Very bad quality overall. The content is recycled and the author adds nothing new to the conversation. Would not recommend at all.,"Dreadful, full of errors"
58,B00ABC1035,"[0, 1]",A1XYZ059,Richard S.,1372377600,06 18 2015,2,This book is a total mess. The author clearly did not do enough research. I returned it immediately and asked for a refund.,One star is too generous
59,B00ABC1222,"[1, 1]",A1XYZ060,Jessica P.,1372464000,06 21 2015,4,Simply outstanding work. The writing style is engaging and the content is very well structured. Essential reading for everyone.,Superb content
60,B00ABC1125,"[7, 8]",A1XYZ061,Steven M.,1372550400,08 14 2014,5,"I cannot say enough good things about this book. The explanations are clear, the examples are practical. An absolute must have.",Truly remarkable
61,B00ABC1093,"[6, 7]",A1XYZ062,Jason F.,1372636800,06 1 2015,2,I could not finish this book. The sentences are confusing and the structure is a mess. I regret purchasing this book.,"Disappointing, not worth it"
62,B00ABC1043,"[4, 4]",A1XYZ063,Ruth H.,1372723200,12 9 2012,4,Absolutely loved this book. I came away with a completely new understanding of the subject. An absolute must have.,Definitive book on the subject
63,B00ABC1113,"[7, 7]",A1XYZ064,Emma N.,1372809600,08 26 2012,5,A wonderful journey from start to finish. The author writes with passion and authority on every page. I finished it in two days and immediately bought the sequel.,Changed my perspective
64,B00ABC1232,"[5, 7]",A1XYZ065,Brian Z.,1372896000,07 24 2014,5,Captivating and thoroughly enjoyable. Every chapter is filled with valuable insights and relatable examples. I am so glad I decided to buy it.,"Loved it, flawless execution"
65,B00ABC1378,"[0, 5]",A1XYZ066,Paul H.,1372982400,12 18 2013,5,Perfect book for anyone interested in this topic. The author explains complex ideas in a simple and accessible way. Would definitely recommend it to friends and family.,Perfect for learning
66,B00ABC1154,"[0, 4]",A1XYZ067,Nancy W.,1373068800,04 10 2013,4,A revelation from cover to cover. I came away with a completely new understanding of the subject. I finished it in two days and immediately bought the sequel.,Truly remarkable
67,B00ABC1006,"[0, 0]",A1XYZ068,James M.,1373155200,12 5 2015,5,This is the definitive book on the subject. The research is thorough and the conclusions are very insightful. An absolute must have.,Brilliant masterpiece
68,B00ABC1033,"[0, 2]",A1XYZ069,Anna G.,1373241600,05 28 2015,4,Beautifully crafted and deeply insightful. The author writes with passion and authority on every page. A worthwhile investment.,Definitive book on the subject
69,B00ABC1391,"[2, 2]",A1XYZ070,Anna I.,1373328000,05 3 2013,5,One of the best books I have read this year. The author clearly put a lot of effort into this book. Highly recommend to anyone interested in this topic.,"Must read, absolutely brilliant"
70,B00ABC1219,"[6, 8]",A1XYZ071,Melissa J.,1373414400,08 15 2014,5,Truly inspiring and thought provoking. I came away with a completely new understanding of the subject. I am so glad I decided to buy it.,Changed my perspective
71,B00ABC1088,"[1, 3]",A1XYZ072,Tom C.,1373500800,05 22 2012,5,Truly inspiring and thought provoking. The writing style is engaging and the content is very well structured. I am so glad I decided to buy it.,Truly inspiring
72,B00ABC1144,"[7, 9]",A1XYZ073,Kevin Z.,1373587200,05 2 2013,4,Superb content and beautifully written. The writing style is engaging and the content is very well structured. Essential reading for everyone.,"Beautifully crafted, deeply insightful"
73,B00ABC1278,"[0, 1]",A1XYZ074,Barbara R.,1373673600,05 26 2013,3,Not bad but not great either. The first half was good but the second half lost momentum.,"Not bad, not great"
74,B00ABC1422,"[0, 1]",A1XYZ075,Charles E.,1373760000,03 26 2014,5,Outstanding quality and research. I learned so much from reading this book. An absolute must have.,"Must read, absolutely brilliant"
75,B00ABC1306,"[3, 4]",A1XYZ076,George T.,1373846400,05 17 2015,4,A real gem of a book. The author writes with passion and authority on every page. Would definitely recommend it to friends and family.,"Beautifully crafted, deeply insightful"
76,B00ABC1420,"[0, 4]",A1XYZ077,Kenneth Y.,1373932800,02 8 2012,5,"A wonderful journey from start to finish. The author has an incredible ability to draw you in and keep you hooked. Buy it now, you will not regret it.",Truly remarkable
77,B00ABC1251,"[7, 8]",A1XYZ078,Thomas G.,1374019200,05 6 2015,5,Fantastic read from start to finish. I came away with a completely new understanding of the subject. Five stars without hesitation.,Superb content
78,B00ABC1355,"[5, 5]",A1XYZ079,Karen L.,1374105600,02 28 2013,1,This book should never have been published. The content is shallow and lacks depth. A complete waste of money.,"Horrible, avoid at all costs"
79,B00ABC1206,"[1, 7]",A1XYZ080,Anna X.,1374192000,06 9 2014,4,This book blew my mind. It completely changed my perspective on the topic. I finished it in two days and immediately bought the sequel.,Brilliant masterpiece
80,B00ABC1255,"[0, 6]",A1XYZ081,Donna X.,1374278400,04 17 2014,1,"Terrible book, waste of money and time. The information is incorrect in many places and the writing is painfully bad. Very disappointed with this purchase.",Should never have been published
81,B00ABC1498,"[1, 2]",A1XYZ082,Anna M.,1374364800,08 23 2015,4,Fantastic read from start to finish. The author explains complex ideas in a simple and accessible way. An absolute must have.,Great and informative
82,B00ABC1467,"[0, 8]",A1XYZ083,Mark G.,1374451200,09 14 2012,4,Captivating and thoroughly enjoyable. The author has an incredible ability to draw you in and keep you hooked. Five stars without hesitation.,A real gem
83,B00ABC1241,"[4, 4]",A1XYZ084,Amanda O.,1374537600,12 9 2015,5,"Wonderful storytelling throughout. The explanations are clear, the examples are practical. Five stars without hesitation.",Superb content
84,B00ABC1404,"[8, 9]",A1XYZ085,Rachel X.,1374624000,12 5 2012,5,This is the definitive book on the subject. The research is thorough and the conclusions are very insightful. Essential reading for everyone.,Perfect for learning
85,B00ABC1228,"[0, 0]",A1XYZ086,Melissa P.,1374710400,12 10 2015,2,Worst book I have ever read. The editing is nonexistent and the structure is completely absent. Very disappointed with this purchase.,"Total mess, waste of money"
86,B00ABC1292,"[3, 6]",A1XYZ087,William C.,1374796800,06 28 2013,4,Absolutely loved this book. The author has a unique voice that keeps you engaged from start to finish. I finished it in two days and immediately bought the sequel.,Great and informative
87,B00ABC1064,"[3, 6]",A1XYZ088,Maria K.,1374883200,11 26 2013,5,"A wonderful journey from start to finish. The writing style is engaging and the content is very well structured. Buy it now, you will not regret it.",Superb content
88,B00ABC1335,"[1, 1]",A1XYZ089,Edward M.,1374969600,01 24 2013,4,A revelation from cover to cover. The author has a unique voice that keeps you engaged from start to finish. Would definitely recommend it to friends and family.,"Beautifully crafted, deeply insightful"
89,B00ABC1439,"[6, 9]",A1XYZ090,Jason Y.,1375056000,11 3 2014,1,"I could not finish this book. The writing is flat, the content is predictable. I returned it immediately and asked for a refund.","Horrible, avoid at all costs"
90,B00ABC1046,"[0, 0]",A1XYZ091,Mark E.,1375142400,04 21 2014,4,"Simply outstanding work. The explanations are clear, the examples are practical. A worthwhile investment.",Great and informative
91,B00ABC1028,"[2, 2]",A1XYZ092,Steven A.,1375228800,05 1 2012,5,Wonderful storytelling throughout. I came away with a completely new understanding of the subject. Would definitely recommend it to friends and family.,"Beautifully crafted, deeply insightful"
92,B00ABC1040,"[6, 8]",A1XYZ093,Tom W.,1375315200,10 22 2013,5,Absolutely loved this book. The level of detail is impressive and the writing flows beautifully. Five stars without hesitation.,Changed my perspective
93,B00ABC1341,"[2, 9]",A1XYZ094,Dorothy B.,1375401600,04 15 2014,4,This book blew my mind. The author clearly put a lot of effort into this book. Cannot recommend it enough.,Superb content
94,B00ABC1353,"[0, 2]",A1XYZ095,Thomas L.,1375488000,08 12 2014,5,"Excellent book, very well researched. I learned so much from reading this book. An absolute must have.",Great and informative
95,B00ABC1358,"[0, 1]",A1XYZ096,Joseph N.,1375574400,07 19 2014,5,A real gem of a book. The author explains complex ideas in a simple and accessible way. Essential reading for everyone.,Superb content
96,B00ABC1462,"[0, 10]",A1XYZ097,Amanda C.,1375660800,10 24 2015,5,This book blew my mind. Every chapter is filled with valuable insights and relatable examples. Highly recommend to anyone interested in this topic.,Insightful and well written
97,B00ABC1462,"[3, 10]",A1XYZ098,Thomas R.,1375747200,10 9 2013,5,"Captivating and thoroughly enjoyable. The author clearly put a lot of effort into this book. Buy it now, you will not regret it.",Changed my perspective
98,B00ABC1167,"[5, 9]",A1XYZ099,Eric N.,1375833600,12 5 2012,4,Fantastic read from start to finish. Every chapter is filled with valuable insights and relatable examples. A worthwhile investment.,Brilliant masterpiece
99,B00ABC1422,"[4, 5]",A1XYZ100,Chris H.,1375920000,09 9 2013,2,Complete garbage. The book is full of errors and contradictions. Save your money.,Fell short of expectations
100,B00ABC1370,"[1, 7]",A1XYZ101,Melissa Y.,1376006400,03 25 2013,1,Do not buy this! Most of the content is filler and adds no value whatsoever. Do not waste your money.,Misleading description
101,B00ABC1274,"[5, 8]",A1XYZ102,John B.,1376092800,02 26 2015,3,Not bad but not great either. The first half was good but the second half lost momentum.,"Not bad, not great"
102,B00ABC1241,"[6, 6]",A1XYZ103,Sharon C.,1376179200,11 12 2012,5,"Absolutely loved this book. The explanations are clear, the examples are practical. An absolute must have.",Insightful and well written
103,B00ABC1154,"[1, 10]",A1XYZ104,Eric Z.,1376265600,11 27 2015,5,This is the definitive book on the subject. The author has a unique voice that keeps you engaged from start to finish. I am so glad I decided to buy it.,Changed my perspective
104,B00ABC1069,"[3, 4]",A1XYZ105,Ryan I.,1376352000,02 4 2013,4,Wonderful storytelling throughout. The research is thorough and the conclusions are very insightful. Highly recommend to anyone interested in this topic.,Brilliant masterpiece
105,B00ABC1315,"[2, 9]",A1XYZ106,Amanda O.,1376438400,07 21 2012,5,"Absolutely loved this book. The explanations are clear, the examples are practical. I finished it in two days and immediately bought the sequel.","A revelation, landmark publication"
106,B00ABC1188,"[7, 7]",A1XYZ107,James Y.,1376524800,04 28 2014,5,"Perfect book for anyone interested in this topic. The writing style is engaging and the content is very well structured. Buy it now, you will not regret it.",Perfect for learning
107,B00ABC1305,"[0, 3]",A1XYZ108,Carol Q.,1376611200,08 3 2013,4,Absolutely loved this book. The writing style is engaging and the content is very well structured. Essential reading for everyone.,Simply outstanding
108,B00ABC1416,"[2, 2]",A1XYZ109,Sandra H.,1376697600,04 3 2013,1,Very disappointing experience. The book promised a lot but delivered very little. Do not waste your money.,"Disappointing, not worth it"
109,B00ABC1056,"[0, 0]",A1XYZ110,Michelle W.,1376784000,03 5 2014,1,Worst book I have ever read. The book promised a lot but delivered very little. Save your money.,One star is too generous
110,B00ABC1008,"[0, 2]",A1XYZ111,Sandra F.,1376870400,06 26 2013,3,It was okay. Nothing special but nothing terrible either. Some parts were interesting but others felt repetitive.,Just okay
111,B00ABC1055,"[0, 1]",A1XYZ112,Walter J.,1376956800,08 15 2014,5,Fantastic read from start to finish. The research is thorough and the conclusions are very insightful. Essential reading for everyone.,Wonderful journey
112,B00ABC1205,"[3, 4]",A1XYZ113,Frank M.,1377043200,11 1 2012,4,Captivating and thoroughly enjoyable. The author clearly put a lot of effort into this book. Highly recommend to anyone interested in this topic.,Wonderful journey
113,B00ABC1319,"[1, 1]",A1XYZ114,Robert B.,1377129600,10 5 2012,5,Wonderful storytelling throughout. The author writes with passion and authority on every page. A worthwhile investment.,Outstanding and informative
114,B00ABC1359,"[8, 9]",A1XYZ115,James A.,1377216000,05 15 2015,4,"This is the definitive book on the subject. The author has an incredible ability to draw you in and keep you hooked. Buy it now, you will not regret it.","Essential reading, one of the best"
115,B00ABC1373,"[3, 7]",A1XYZ116,Patricia L.,1377302400,07 11 2015,5,This is the definitive book on the subject. The author has an incredible ability to draw you in and keep you hooked. Cannot recommend it enough.,"A revelation, landmark publication"
116,B00ABC1047,"[2, 2]",A1XYZ117,Amanda T.,1377388800,08 3 2012,5,A wonderful journey from start to finish. The author has a unique voice that keeps you engaged from start to finish. An absolute must have.,"Loved it, flawless execution"
117,B00ABC1340,"[0, 0]",A1XYZ118,Brian M.,1377475200,11 4 2015,5,Absolutely loved this book. I came away with a completely new understanding of the subject. Five stars without hesitation.,Great and informative
118,B00ABC1246,"[4, 9]",A1XYZ119,Claire Y.,1377561600,06 4 2013,1,Absolutely dreadful. The description was very misleading and the content is generic. Would not recommend at all.,"Dreadful, full of errors"
119,B00ABC1498,"[1, 1]",A1XYZ120,Jason I.,1377648000,10 8 2015,5,Wonderful storytelling throughout. The author has a unique voice that keeps you engaged from start to finish. I finished it in two days and immediately bought the sequel.,"Loved it, flawless execution"
120,B00ABC1158,"[4, 9]",A1XYZ121,William X.,1377734400,01 6 2014,2,Regret buying this. The content is recycled and the author adds nothing new to the conversation. Very disappointed with this purchase.,Very disappointing
121,B00ABC1271,"[6, 9]",A1XYZ122,Emma E.,1377820800,02 5 2012,1,Very poor content. The content is outdated and misleading. Save your money.,Complete garbage
122,B00ABC1079,"[2, 5]",A1XYZ123,Ryan K.,1377907200,12 11 2012,5,"A wonderful journey from start to finish. The author writes with passion and authority on every page. Buy it now, you will not regret it.",Exceeded all expectations
123,B00ABC1110,"[6, 7]",A1XYZ124,Edward B.,1377993600,08 20 2015,5,Truly inspiring and thought provoking. The writing style is engaging and the content is very well structured. Would definitely recommend it to friends and family.,Simply outstanding
124,B00ABC1202,"[4, 4]",A1XYZ125,Mike C.,1378080000,08 17 2014,2,Very bad quality overall. The content is shallow and lacks depth. A complete waste of money.,Misleading description
125,B00ABC1254,"[1, 3]",A1XYZ126,Anna M.,1378166400,05 10 2014,1,Very disappointing experience. The content is outdated and misleading. Not worth the price.,"Dreadful, full of errors"
126,B00ABC1235,"[2, 3]",A1XYZ127,Barbara M.,1378252800,02 13 2012,2,Complete garbage. The writing is terrible and the plot makes no sense. A complete waste of money.,Fell short of expectations
127,B00ABC1010,"[5, 6]",A1XYZ128,Anna G.,1378339200,11 14 2014,1,Worst book I have ever read. The content is recycled and the author adds nothing new to the conversation. A complete waste of money.,Loses momentum quickly
128,B00ABC1301,"[0, 5]",A1XYZ129,Janet L.,1378425600,07 28 2012,1,Complete garbage. The book promised a lot but delivered very little. One star because zero is not possible.,Should never have been published
129,B00ABC1099,"[2, 3]",A1XYZ130,Ruth V.,1378512000,03 3 2012,5,One of the best books I have read this year. The level of detail is impressive and the writing flows beautifully. An absolute must have.,Definitive book on the subject
130,B00ABC1389,"[0, 1]",A1XYZ131,Charles P.,1378598400,05 7 2013,1,Very poor content. The content is shallow and lacks depth. Save your money.,"Disappointing, not worth it"
131,B00ABC1161,"[9, 9]",A1XYZ132,Melissa Q.,1378684800,08 22 2014,2,I could not finish this book. The writing is terrible and the plot makes no sense. I regret purchasing this book.,Should never have been published
132,B00ABC1231,"[4, 4]",A1XYZ133,Laura D.,1378771200,01 12 2012,5,One of the best books I have read this year. The author writes with passion and authority on every page. A worthwhile investment.,A real gem
133,B00ABC1283,"[1, 10]",A1XYZ134,Dorothy J.,1378857600,10 20 2015,5,Absolutely loved this book. It completely changed my perspective on the topic. An absolute must have.,Outstanding and informative
134,B00ABC1052,"[4, 5]",A1XYZ135,Lisa D.,1378944000,08 17 2013,1,"Very disappointing experience. The writing is flat, the content is predictable. One star because zero is not possible.",Worst book ever
135,B00ABC1267,"[2, 10]",A1XYZ136,George V.,1379030400,01 8 2015,2,Worst book I have ever read. Most of the content is filler and adds no value whatsoever. Avoid at all costs.,"Hugely disappointing, fake reviews"
136,B00ABC1331,"[6, 6]",A1XYZ137,Peter Q.,1379116800,06 22 2012,4,Absolutely loved this book. The author has a unique voice that keeps you engaged from start to finish. An absolute must have.,"Essential reading, one of the best"
137,B00ABC1298,"[2, 4]",A1XYZ138,Karen T.,1379203200,12 28 2013,5,Simply outstanding work. The storytelling is brilliant and the characters are very well developed. I finished it in two days and immediately bought the sequel.,"Essential reading, one of the best"
138,B00ABC1192,"[3, 4]",A1XYZ139,Laura I.,1379289600,03 20 2012,3,Mixed feelings about this one. Some chapters were great but others were a letdown. Average read.,Mixed feelings
139,B00ABC1092,"[1, 1]",A1XYZ140,Nancy N.,1379376000,09 12 2012,4,Simply outstanding work. It completely changed my perspective on the topic. Five stars without hesitation.,Wonderful journey
140,B00ABC1051,"[1, 3]",A1XYZ141,Jason A.,1379462400,03 3 2014,1,Worst book I have ever read. The book promised a lot but delivered very little. I regret purchasing this book.,Worst book ever
141,B00ABC1092,"[5, 10]",A1XYZ142,Claire W.,1379548800,10 5 2015,4,This is the definitive book on the subject. It completely changed my perspective on the topic. I finished it in two days and immediately bought the sequel.,Brilliant masterpiece
142,B00ABC1145,"[0, 0]",A1XYZ143,George U.,1379635200,06 22 2013,2,Regret buying this. The book promised a lot but delivered very little. Save your money.,Should never have been published
143,B00ABC1144,"[3, 4]",A1XYZ144,Dorothy X.,1379721600,04 12 2015,2,I want my money back. The book is full of errors and contradictions. Very disappointed with this purchase.,"Disappointing, not worth it"
